N,P2/CR 1e-3,P2/CR 1e-4,P2/P1 1e-3,P2/P1 1e-4
2,0.000116997134778,1.17E-06,2.34E-05,2.34E-07
5,0.89283736051981,0.88980105142257,0.00333355652026,3.35E-05
10,1.27020068383079,1.26118677071188,0.068986714970596,0.000746419605605
15,1.34276858932289,1.32583824006701,0.293619877280117,0.004139622982714
20,1.36090153516238,1.35434234336656,0.615220938567075,0.013546229491957
30,1.37279759909128,1.37147551451606,1.08243915317322,0.067604995903072
50,1.37858331148788,1.3784674189811,1.32909003832163,0.375947478574392
100,1.38100649368871,1.38094062833739,1.37775135360427,1.14333144925689
200,1.38160470182524,1.38159916517911,1.38135586247487,1.36232436316856
